推,噓,分數,作者,標題,時間,推_etl,時間_etl
推: 2,噓: 0,分數: 2,作者: lwt501cx (爆裂魔法Explosion！！),標題: [公告] 暫時性板規 期限至2024年01月20日,時間: Sat Nov  4 15:37:58 2023,2,2023-11-04 15:37:58
推: 0,噓: 0,分數: 0,作者: lwt501cx (爆裂魔法Explosion！！),標題: [公告] 八卦板板規(2023.11.11),時間: Sat Nov 11 00:13:06 2023,0,2023-11-11 00:13:06
推: 6,噓: 1,分數: 5,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 聖誕節單人用餐活動這一次我們回家投票,時間: Mon Jan  1 19:32:54 2024,6,2024-01-01 19:32:54
推: 23,噓: 6,分數: 17,作者: ubcs (覺★青年超冒險蓋),標題: [公告]2024/01/03零時起至投票結束 不得轉發民調,時間: Mon Jan  1 19:54:43 2024,23,2024-01-01 19:54:43
推: 199,噓: 40,分數: 159,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 防IWIN勿PO 小商人紐時廣告無碼照,時間: Thu Jan  4 15:48:00 2024,199,2024-01-04 15:48:00
推: 5,噓: 0,分數: 5,作者: peterlin495 (專業果粉O'_'O),標題: [問卦] 慟!? 竟然89也不少不買C300的?,時間: Sat Jan  6 19:31:37 2024,5,2024-01-06 19:31:37
推: 3,噓: 1,分數: 2,作者: JJRICH (流浪的武士),標題: [問卦] 急，我一輩子挺的朋友八年付出做白工,時間: Sat Jan  6 19:31:57 2024,3,2024-01-06 19:31:57
推: 4,噓: 3,分數: 1,作者: blueian (義恩阿庫犽),標題: [問卦] 下禮拜房價開始跌怎麼辦??,時間: Sat Jan  6 19:33:03 2024,4,2024-01-06 19:33:03
推: 7,噓: 2,分數: 5,作者: miss80423 (自宅警備員),標題: [問卦] 手搖飲料一杯快要100塊錢了怎辦==？,時間: Sat Jan  6 19:35:38 2024,7,2024-01-06 19:35:38
推: 0,噓: 1,分數: -1,作者: paulispig (關心高立德的牙齒狀況),標題: [新聞] 不讓回家繼續喝 2友當街互毆警幫勸竟被,時間: Sat Jan  6 19:36:07 2024,0,2024-01-06 19:36:07
推: 6,噓: 3,分數: 3,作者: ashinly1021 (刁嘎咩衝麻改洨),標題: Re: [問卦] 台中大里晚上怎麼這麼多人拜拜,時間: Sat Jan  6 19:36:10 2024,6,2024-01-06 19:36:10
推: 216,噓: 33,分數: 183,作者: chopper594 (世界のももクロ No.1!!!),標題: [新聞] 再現貪食蛇！民眾黨今晚台中大會師 人潮,時間: Sat Jan  6 19:36:45 2024,216,2024-01-06 19:36:45
推: 7,噓: 1,分數: 6,作者: VVizZ (我很窮),標題: Re: [問卦] 貓咪不愛動是正常的嗎,時間: Sat Jan  6 19:36:46 2024,7,2024-01-06 19:36:46
推: 10,噓: 2,分數: 8,作者: x6073123 (),標題: [問卦] 有推薦的碎紙機嗎,時間: Sat Jan  6 19:38:15 2024,10,2024-01-06 19:38:15
推: 24,噓: 176,分數: -152,作者: felixden (Gura的老公),標題: Re: [問卦] 大家都習慣晚上做愛嗎,時間: Sat Jan  6 19:39:08 2024,24,2024-01-06 19:39:08
推: 4,噓: 0,分數: 4,作者: ak47good (陳鳥仁),標題: Re: [問卦] 身邊的覺青朋友 今年都不積極了？,時間: Sat Jan  6 19:39:22 2024,4,2024-01-06 19:39:22
推: 1,噓: 1,分數: 0,作者: Savior09 (Sakana Mazui),標題: [問卦] 教小孩是不是需要PUA,時間: Sat Jan  6 19:40:12 2024,1,2024-01-06 19:40:12
推: 7,噓: 0,分數: 7,作者: pulato16 (七股哥布林),標題: [問卦] 選舉公報一定要印出來嗎,時間: Sat Jan  6 19:40:58 2024,7,2024-01-06 19:40:58
推: 12,噓: 1,分數: 11,作者: hyperdunk (別鞭我),標題: [問卦] 八卦版怎麼那麼討厭抖音？,時間: Sat Jan  6 19:41:21 2024,12,2024-01-06 19:41:21
推: 13,噓: 4,分數: 9,作者: doremifasola (),標題: [問卦] 台灣音樂素質到底出了什麼事？,時間: Sat Jan  6 19:42:16 2024,13,2024-01-06 19:42:16
推: 36,噓: 5,分數: 31,作者: id44kimo (擁抱吧(B)),標題: Re: [新聞] 再現貪食蛇！民眾黨今晚台中大會師 人潮,時間: Sat Jan  6 19:43:03 2024,36,2024-01-06 19:43:03
推: 4,噓: 0,分數: 4,作者: j32072 (心地善良的o'_'o),標題: [問卦] 出個辦公室福袋有沒有搞頭,時間: Sat Jan  6 19:46:40 2024,4,2024-01-06 19:46:40
推: 3,噓: 5,分數: -2,作者: b33 (壁虎可愛),標題: [新聞] 酒癮難戒！酒駕再違規率6.9%　醫籲「這樣,時間: Sat Jan  6 19:47:40 2024,3,2024-01-06 19:47:40
推: 0,噓: 0,分數: 0,作者: willydp (波昂金城武),標題: Re: [新聞] 賴清德稱管中閔因他才能當校長 本尊怒發,時間: Sat Jan  6 19:47:55 2024,0,2024-01-06 19:47:55
推: 1,噓: 0,分數: 1,作者: Ophiuchus (尋找傳說中的廚具會在選),標題: Re: [新聞] 陽交大學生好著急！校內小7中千萬發票沒,時間: Sat Jan  6 19:48:01 2024,1,2024-01-06 19:48:01
推: 4,噓: 0,分數: 4,作者: tinytod (22),標題: Re: [問卦] 有什麼以為自己贏定卻翻盤的例子嗎？,時間: Sat Jan  6 19:48:31 2024,4,2024-01-06 19:48:31
推: 4,噓: 1,分數: 3,作者: kinve1014 (黑松可樂),標題: [問卦] 好想吃焗烤飯 中山站有哪間好吃？,時間: Sat Jan  6 19:49:34 2024,4,2024-01-06 19:49:34
推: 2,噓: 0,分數: 2,作者: YU0121 (愛玉冰™),標題: [問卦] 尾牙抽獎抽到兒童牙刷代表什麼？,時間: Sat Jan  6 19:50:20 2024,2,2024-01-06 19:50:20
推: 6,噓: 6,分數: 0,作者: gn7722 (腳很痛),標題: [問卦] 超音波檢查根本沒什麼成本吧？,時間: Sat Jan  6 19:51:24 2024,6,2024-01-06 19:51:24
推: 8,噓: 1,分數: 7,作者: kingfsg7326 (認 同 請 按 2 ),標題: [問卦] 為什麼 文組文青 通常是死忠的?,時間: Sat Jan  6 19:51:36 2024,8,2024-01-06 19:51:36
推: 7,噓: 9,分數: -2,作者: Dooo (臘腸狗切半去尾),標題: [新聞] 菲國跨性別網紅控台夜店歧視　業者致歉,時間: Sat Jan  6 19:51:47 2024,7,2024-01-06 19:51:47
推: 5,噓: 4,分數: 1,作者: ppp123 (3p哥),標題: [問卦] 十元20元的漲 漲到你發寒？,時間: Sat Jan  6 19:52:32 2024,5,2024-01-06 19:52:32
推: 7,噓: 1,分數: 6,作者: chirex (不含銅鋰鋅),標題: Re: [問卦] 勤美綠園道怎麼這麼多人啊？,時間: Sat Jan  6 19:52:38 2024,7,2024-01-06 19:52:38
推: 10,噓: 0,分數: 10,作者: aasawfish (),標題: [問卦] 1/15 公司的碎紙機會忙爆嗎？,時間: Sat Jan  6 19:53:26 2024,10,2024-01-06 19:53:26
推: 6,噓: 1,分數: 5,作者: almanac (guest),標題: [問卦] 為什麼蝦皮那麼多賣假黃金的？,時間: Sat Jan  6 19:54:51 2024,6,2024-01-06 19:54:51
推: 11,噓: 2,分數: 9,作者: xinade (Andrea),標題: [新聞] 藍控賴台南買房搭捷運線涉炒房 賴陣營：,時間: Sat Jan  6 19:55:33 2024,11,2024-01-06 19:55:33
推: 9,噓: 0,分數: 9,作者: GigiBuffon (我已不願再自我欺瞞),標題: [問卦] 不想上班但是會沒錢生活QQ,時間: Sat Jan  6 19:56:16 2024,9,2024-01-06 19:56:16
推: 1,噓: 2,分數: -1,作者: area41gold (area41gold在炫耀？哥單s),標題: [問卦] 嘔嘔嘔 前面肥宅沒洗頭怎辦？,時間: Sat Jan  6 19:56:27 2024,1,2024-01-06 19:56:27
推: 0,噓: 3,分數: -3,作者: Tiara5566 (霸凌天團),標題: [新聞] Ozone跨年好糗　他帥跳「空中一字馬」褲,時間: Sat Jan  6 19:57:00 2024,0,2024-01-06 19:57:00
推: 8,噓: 0,分數: 8,作者: ai770116 (東方的神秘力量),標題: [問卦] 美國女權給台灣女權差在哪？,時間: Sat Jan  6 19:57:02 2024,8,2024-01-06 19:57:02
推: 5,噓: 2,分數: 3,作者: bluehttp (公鯊小),標題: [問卦] 這是法國新日常生活？,時間: Sat Jan  6 19:57:33 2024,5,2024-01-06 19:57:33
推: 4,噓: 0,分數: 4,作者: ralfeistein (無名的ㄈㄓ王),標題: [問卦] 2024年第一個RickRoll的八卦?,時間: Sat Jan  6 19:58:48 2024,4,2024-01-06 19:58:48
推: 9,噓: 0,分數: 9,作者: ng101281 (),標題: [新聞] 近年來首次！金正恩慰問能登震災 日本政1,時間: Sat Jan  6 19:59:28 2024,9,2024-01-06 19:59:28
推: 13,噓: 1,分數: 12,作者: WangW (廢文Wang),標題: [問卦] 未來電動車電池及太陽能板怎處理啊,時間: Sat Jan  6 19:59:35 2024,13,2024-01-06 19:59:35
推: 0,噓: 0,分數: 0,作者: mhliu8 (～～IH< 會飛低小強),標題: [問卦] 為什麼生活實際上常常「沒選擇」?,時間: Sat Jan  6 20:01:54 2024,0,2024-01-06 20:01:54
推: 3,噓: 0,分數: 3,作者: tose4433 (Remax),標題: [問卦] 棄甲歸田去，王侯如敝履？詩賞析？,時間: Sat Jan  6 20:02:51 2024,3,2024-01-06 20:02:51
推: 7,噓: 1,分數: 6,作者: zakijudelo (Zack),標題: [問卦] 能舉一個弱小勢力成功打倒強權的故事？,時間: Sat Jan  6 20:03:23 2024,7,2024-01-06 20:03:23
推: 12,噓: 5,分數: 7,作者: pl132 (pl132),標題: [新聞]嫩妹火鍋店吃飯「拔陰毛丟鍋裡」討3倍賠償,時間: Sat Jan  6 20:03:23 2024,12,2024-01-06 20:03:23
推: 3,噓: 0,分數: 3,作者: a1e (我上了賊船了囧),標題: Re: [爆卦] 緬甸軍砲擊中國雲南省導致重傷,時間: Sat Jan  6 20:05:31 2024,3,2024-01-06 20:05:31
推: 3,噓: 0,分數: 3,作者: js52666 (嘻嘻☺),標題: [問卦] 中南部電台賣的藥可以跟日本一戰嗎？,時間: Sat Jan  6 20:07:05 2024,3,2024-01-06 20:07:05
推: 5,噓: 1,分數: 4,作者: basterds (惡棍特工),標題: [問卦] 小粉紅解放軍是不是孬了？,時間: Sat Jan  6 20:07:24 2024,5,2024-01-06 20:07:24
推: 16,噓: 0,分數: 16,作者: claymath (ヽ(‵・ω・′)ゝ),標題: Re: [問卦] 1/12鄉民會揪團去凱道湊人數嗎？,時間: Sat Jan  6 20:07:37 2024,16,2024-01-06 20:07:37
推: 0,噓: 0,分數: 0,作者: uiorefd (小魯),標題: Re: [問卦] 為什麼生活實際上常常「沒選擇」?,時間: Sat Jan  6 20:09:28 2024,0,2024-01-06 20:09:28
推: 2,噓: 0,分數: 2,作者: gaiaesque (一起來聽techno八 o'_'o),標題: [問卦] 豪大歐 >///<,時間: Sat Jan  6 20:10:30 2024,2,2024-01-06 20:10:30
推: 13,噓: 4,分數: 9,作者: ncc5566 (政大宅男),標題: [問卦] 大家看a片的關鍵字是啥??,時間: Sat Jan  6 20:10:45 2024,13,2024-01-06 20:10:45
推: 2,噓: 1,分數: 1,作者: plugtask (西方阿湯哥東方宗瑞哥),標題: [問卦] 中壢夜市附近怎那麼多遊覽車?,時間: Sat Jan  6 20:11:09 2024,2,2024-01-06 20:11:09
推: 3,噓: 0,分數: 3,作者: sua (sua),標題: [問卦] 好興奮的台語也是挖苦挖苦？,時間: Sat Jan  6 20:11:31 2024,3,2024-01-06 20:11:31
推: 1,噓: 1,分數: 0,作者: jen1121 (programmer),標題: [問卦] 社交工程的極致？,時間: Sat Jan  6 20:11:44 2024,1,2024-01-06 20:11:44
推: 3,噓: 2,分數: 1,作者: powerg5 (mac),標題: [問卦] 木瓜沙拉配什麼飯或麵食才好吃？,時間: Sat Jan  6 20:11:49 2024,3,2024-01-06 20:11:49
推: 16,噓: 2,分數: 14,作者: lt5114 (REDONDO),標題: Re: [新聞] 再現貪食蛇！民眾黨今晚台中大會師,時間: Sat Jan  6 20:12:40 2024,16,2024-01-06 20:12:40
推: 12,噓: 3,分數: 9,作者: moneybuy (),標題: [問卦] 吳子嘉跟館長有甚麼仇= =,時間: Sat Jan  6 20:13:01 2024,12,2024-01-06 20:13:01
推: 4,噓: 0,分數: 4,作者: chubby31190 (優文專家),標題: [問卦] 遊覽車業者其實很賺吧？,時間: Sat Jan  6 20:14:00 2024,4,2024-01-06 20:14:00
推: 17,噓: 11,分數: 6,作者: SeaForest (~海森林~),標題: [問卦] 高雄輕軌真的贏麻了,時間: Sat Jan  6 20:14:16 2024,17,2024-01-06 20:14:16
推: 2,噓: 0,分數: 2,作者: jack97256 (雪芙第一),標題: [問卦] 下禮拜會有垃圾時間嗎,時間: Sat Jan  6 20:16:23 2024,2,2024-01-06 20:16:23
推: 3,噓: 5,分數: -2,作者: piggy37 (小時),標題: [問卦] 是不是因爲漲工資導致物價上漲,時間: Sat Jan  6 20:17:29 2024,3,2024-01-06 20:17:29
推: 14,噓: 0,分數: 14,作者: YqYq5566 (三重Curry),標題: Re: [問卦] 現在在看中視新聞的是哪些人,時間: Sat Jan  6 20:18:08 2024,14,2024-01-06 20:18:08
推: 10,噓: 0,分數: 10,作者: subcrew (Working Below The Hype),標題: [問卦] 遊覽車老闆最近是不是很爽,時間: Sat Jan  6 20:21:00 2024,10,2024-01-06 20:21:00
推: 3,噓: 3,分數: 0,作者: pprino (于晏的腦婆),"標題: [問卦] 普女整形成醫師工程師搶著要,大概多少",時間: Sat Jan  6 20:22:07 2024,3,2024-01-06 20:22:07
推: 8,噓: 4,分數: 4,作者: t20056 (有前科的可憐人),標題: [問卦] 國中女生喜歡怎樣特質的男生呢?,時間: Sat Jan  6 20:22:43 2024,8,2024-01-06 20:22:43
推: 2,噓: 1,分數: 1,作者: ga3322165 (Jkor),標題: [問卦] 油艘比的歌是進化版科目三嗎？,時間: Sat Jan  6 20:23:09 2024,2,2024-01-06 20:23:09
推: 3,噓: 0,分數: 3,作者: afiend0927 (飛輪爵士),標題: Re: [問卦] 十元20元的漲 漲到你發寒？,時間: Sat Jan  6 20:25:09 2024,3,2024-01-06 20:25:09
推: 0,噓: 0,分數: 0,作者: chinaeatshit (我愛台灣！中國吃屎！！),標題: Re: [問卦] 是不是因爲漲工資導致物價上漲,時間: Sat Jan  6 20:25:20 2024,0,2024-01-06 20:25:20
推: 3,噓: 1,分數: 2,作者: WeiU (台大IU),標題: [問卦] 超商買東西不看價錢算財富自由了嗎？,時間: Sat Jan  6 20:26:29 2024,3,2024-01-06 20:26:29
推: 7,噓: 0,分數: 7,作者: taipei5566 (臺北56),標題: [問卦] 幾歲開始人生定型?,時間: Sat Jan  6 20:27:03 2024,7,2024-01-06 20:27:03
推: 8,噓: 4,分數: 4,作者: notimenofree (裝忙),標題: [問卦] 急！妹子約下週六早上爬山怎辦,時間: Sat Jan  6 20:27:53 2024,8,2024-01-06 20:27:53
推: 9,噓: 1,分數: 8,作者: saiulbb (#KEEP MLB GREAT!),標題: [新聞] Pascal 語言設計者，尼克勞斯維爾特過世,時間: Sat Jan  6 20:28:55 2024,9,2024-01-06 20:28:55
推: 4,噓: 0,分數: 4,作者: bill840207 (洢小庭),標題: [問卦] 最好的競選小物是什麼,時間: Sat Jan  6 20:29:29 2024,4,2024-01-06 20:29:29
推: 6,噓: 1,分數: 5,作者: mystage (亭),標題: [問卦] 怎麼看這份最新民調結果？算爆冷吧,時間: Sat Jan  6 20:29:40 2024,6,2024-01-06 20:29:40
推: 2,噓: 1,分數: 1,作者: KeepHard (0.0),標題: [問卦] 鬍鬚張的滷肉飯可以切好看一點嗎,時間: Sat Jan  6 20:29:53 2024,2,2024-01-06 20:29:53
推: 1,噓: 0,分數: 1,作者: xzcb2008 (可愛老娘變態貓貓=.=),標題: Re: [問卦] 雖敗猶榮之後能幹嘛？,時間: Sat Jan  6 20:29:59 2024,1,2024-01-06 20:29:59
推: 1,噓: 2,分數: -1,作者: davidex (玉藻前我的),標題: [問卦] 我同學去找工作結果被當奴隸怎麼辦？,時間: Sat Jan  6 20:30:14 2024,1,2024-01-06 20:30:14
推: 3,噓: 0,分數: 3,作者: arnold3 (憂鬱型男阿雲),標題: Re: [問卦] 大家看a片的關鍵字是啥??,時間: Sat Jan  6 20:30:42 2024,3,2024-01-06 20:30:42
推: 4,噓: 6,分數: -2,作者: mizuarashi (米茲阿拉西),標題: [問卦] 酷為什麼可以在總統府為所欲為？,時間: Sat Jan  6 20:30:57 2024,4,2024-01-06 20:30:57
推: 171,噓: 22,分數: 149,作者: adam7148 (Adam),標題: [新聞] 柯文哲黃金週六攻搖擺州　台中造勢「破3.,時間: Sat Jan  6 20:31:49 2024,171,2024-01-06 20:31:49
推: 8,噓: 15,分數: -7,作者: CREA (人間不信),標題: [新聞] 單日南北跑6縣市　賴搭「專機、車隊」移動,時間: Sat Jan  6 20:31:59 2024,8,2024-01-06 20:31:59
推: 6,噓: 2,分數: 4,作者: e9837704 (Marschiou),標題: [問卦] 關鍵時刻都不播外星人了嗎？,時間: Sat Jan  6 20:32:08 2024,6,2024-01-06 20:32:08
推: 9,噓: 3,分數: 6,作者: stock5566 (股神56),標題: [問卦] 男女打砲誰先去洗澡？,時間: Sat Jan  6 20:32:28 2024,9,2024-01-06 20:32:28
推: 1,噓: 1,分數: 0,作者: tingmeow (網軍110),標題: [問卦] 實境解謎/逃脫適合頭腦好的人？〓〓,時間: Sat Jan  6 20:32:34 2024,1,2024-01-06 20:32:34
推: 9,噓: 1,分數: 8,作者: qr1348 (56789),標題: [問卦] 網軍的套路,時間: Sat Jan  6 20:33:36 2024,9,2024-01-06 20:33:36
推: 25,噓: 76,分數: -51,作者: gy00015 (趕貓用思思),標題: [新聞] 《在路上》影片爆紅！　賴清德：加油不要,時間: Sat Jan  6 20:34:19 2024,25,2024-01-06 20:34:19
推: 13,噓: 1,分數: 12,作者: Anderson0819 (炸醬牛肉烏龍麵),標題: [問卦] 烏俄戰爭最新情報（更新至20240105）,時間: Sat Jan  6 20:34:53 2024,13,2024-01-06 20:34:53
推: 14,噓: 0,分數: 14,作者: skn60694 (入聲),標題: [新聞] 疑神智不清「亮刀自宮」！蜱蟲咬傷爆幻覺,時間: Sat Jan  6 20:35:43 2024,14,2024-01-06 20:35:43
推: 11,噓: 3,分數: 8,作者: TZUYIC (Celine-Flying On My Own),標題: [新聞] 百事可樂、樂事洋芋片不賣了　法國家樂福,時間: Sat Jan  6 20:38:10 2024,11,2024-01-06 20:38:10
推: 124,噓: 7,分數: 117,作者: onion27 (onion27),標題: Re: [新聞] 被館粉出征！吳子嘉「粗口連發」嗆：被開,時間: Sat Jan  6 20:38:53 2024,124,2024-01-06 20:38:53
推: 3,噓: 0,分數: 3,作者: andrewkuo (),標題: [新聞] 特朗普集團否認在前總統任期內收受不當款,時間: Sat Jan  6 20:42:40 2024,3,2024-01-06 20:42:40
推: 8,噓: 4,分數: 4,作者: Xp3310 (Nokia),標題: [問卦] 十二生肖裡為何沒有貓,時間: Sat Jan  6 20:43:04 2024,8,2024-01-06 20:43:04
推: 7,噓: 0,分數: 7,作者: zzyyxx77 (討噓大師77),標題: [問卦] 27歲女性 公務員 只會打掃 可以嗎??,時間: Sat Jan  6 20:43:29 2024,7,2024-01-06 20:43:29
推: 1,噓: 4,分數: -3,作者: driftyem (云云),標題: [問卦] 台灣有像Jimin一樣的藝人嗎？,時間: Sat Jan  6 20:45:25 2024,1,2024-01-06 20:45:25
推: 9,噓: 1,分數: 8,作者: tp6gp40 (KKAN),標題: [問卦] 有比多力滋辣起司更辣或是一樣的零食嗎,時間: Sat Jan  6 20:46:06 2024,9,2024-01-06 20:46:06
推: 179,噓: 12,分數: 167,作者: wwewcwwwf (桃園竹野內 豐),標題: [問卦] 中視是不是造反了阿?,時間: Sat Jan  6 20:48:01 2024,179,2024-01-06 20:48:01
推: 3,噓: 3,分數: 0,作者: sdamel (國民美尻男=ˇ=),標題: [問卦] 泡裸湯泡一半有人進來怎麼辦,時間: Sat Jan  6 20:49:57 2024,3,2024-01-06 20:49:57
推: 5,噓: 1,分數: 4,作者: k99t (聖誕小雞),標題: [問卦] 可以靠自己閱讀學習學會的人是不是很強？,時間: Sat Jan  6 20:51:32 2024,5,2024-01-06 20:51:32
推: 1,噓: 0,分數: 1,作者: Comebuy (三分鐘熱度),標題: [新聞] SBL裕隆涉假球案！士檢傳喚4前球員1組頭,時間: Sat Jan  6 20:51:52 2024,1,2024-01-06 20:51:52
推: 362,噓: 26,分數: 336,作者: fvx335 (呱呱呱),標題: [爆卦] 升級! 貪食蛇2.0,時間: Sat Jan  6 20:54:11 2024,362,2024-01-06 20:54:11
推: 8,噓: 39,分數: -31,作者: felixden (Gura的老公),標題: [問卦] 妹妹坐我腿上時手該摸哪裡？,時間: Sat Jan  6 20:55:05 2024,8,2024-01-06 20:55:05
推: 4,噓: 0,分數: 4,作者: coon182 (微笑小空空♥),標題: [問卦] 看人玩跑酷卻期盼摔死會很無良嗎？,時間: Sat Jan  6 20:55:26 2024,4,2024-01-06 20:55:26
推: 22,噓: 4,分數: 18,作者: fraternity (猴猴做歹誌),標題: [問卦] 桃園人好意思說自己有捷運喔？,時間: Sat Jan  6 20:56:38 2024,22,2024-01-06 20:56:38
推: 6,噓: 6,分數: 0,作者: yun0615ch (阿毛毛),標題: Re: [新聞] 柯文哲黃金週六攻搖擺州　台中造勢「破3.,時間: Sat Jan  6 20:57:24 2024,6,2024-01-06 20:57:24
推: 274,噓: 152,分數: 122,作者: jefflin0824 (jeff),標題: [新聞] 「柯文哲不會贏！」韓國瑜割袍斷義　勸柯,時間: Sat Jan  6 20:57:34 2024,274,2024-01-06 20:57:34
推: 10,噓: 1,分數: 9,作者: taipei5566 (臺北56),標題: [問卦] 30歲後英文還可能學會嗎?,時間: Sat Jan  6 20:57:59 2024,10,2024-01-06 20:57:59
推: 158,噓: 1,分數: 157,作者: FeiChinzz (路人甲),標題: [問卦] 韓國熊貓輝寶睿寶怎麼哪麼髒?(發錢),時間: Sat Jan  6 20:59:12 2024,158,2024-01-06 20:59:12
推: 91,噓: 5,分數: 86,作者: nk11208z (小魯),標題: [問卦] 台灣有實況主單台破6萬的嗎?,時間: Sat Jan  6 21:00:07 2024,91,2024-01-06 21:00:07
推: 2,噓: 1,分數: 1,作者: qazStarStar (我不是派大星),標題: [問卦] 死忠粉都在想甚麼 ex統神國動粉,時間: Sat Jan  6 21:00:44 2024,2,2024-01-06 21:00:44
推: 2,噓: 3,分數: -1,作者: haruka281 (危險長生機劫還是硬上XD),標題: Re: [問卦] 臺鐵廢到笑沒錯吧,時間: Sat Jan  6 21:03:36 2024,2,2024-01-06 21:03:36
推: 11,噓: 6,分數: 5,作者: metallican (鋼鐵人),標題: [新聞] 呼巴掌、打屁股　屁孩遊客虐待水豚還自拍,時間: Sat Jan  6 21:04:04 2024,11,2024-01-06 21:04:04
推: 4,噓: 5,分數: -1,作者: cutiehoneyzu (McHilo),標題: [問卦] 提到「你們畢竟是死忠的」你會想到什麼？,時間: Sat Jan  6 21:06:35 2024,4,2024-01-06 21:06:35
推: 19,噓: 1,分數: 18,作者: jeff860109 (路人甲),標題: [問卦] 巷口雞翅一隻25了？,時間: Sat Jan  6 21:06:43 2024,19,2024-01-06 21:06:43
推: 1,噓: 1,分數: 0,作者: patagonia (刺激1995),標題: [問卦] 瑞典人過聖誕節要看唐老鴨？,時間: Sat Jan  6 21:06:53 2024,1,2024-01-06 21:06:53
推: 0,噓: 12,分數: -12,作者: ssiou (科科~~),標題: [問卦] 在版上噓文外面聽得見嗎？,時間: Sat Jan  6 21:08:01 2024,0,2024-01-06 21:08:01
推: 2,噓: 0,分數: 2,作者: derrick1220 (新竹野內豐),標題: [問卦] 肥宅484很適合練葵花寶典？O_o,時間: Sat Jan  6 21:08:13 2024,2,2024-01-06 21:08:13
推: 556,噓: 140,分數: 416,作者: Wojnarowski (@wojespn),標題: [新聞] 酸柯文哲是空氣槍！韓國瑜喊：熱鬧但不會,時間: Sat Jan  6 21:08:20 2024,556,2024-01-06 21:08:20
推: 6,噓: 1,分數: 5,作者: saiulbb (#KEEP MLB GREAT!),標題: [問卦] 橋本環奈是地下偶像發展的頂點嗎？,時間: Sat Jan  6 21:09:05 2024,6,2024-01-06 21:09:05
推: 3,噓: 0,分數: 3,作者: ttnakafzcm (tt大),標題: Re: [爆卦] 空中浩劫第24季 大園空難 華航676,時間: Sat Jan  6 21:09:42 2024,3,2024-01-06 21:09:42
推: 5,噓: 7,分數: -2,作者: realtw (realtw良心說 不比臺灣女),標題: [問卦] 日本秋田犬就中國的中華田園犬？,時間: Sat Jan  6 21:10:37 2024,5,2024-01-06 21:10:37
推: 0,噓: 0,分數: 0,作者: Vincent6964 (),標題: Re: [新聞] 酸柯文哲是空氣槍！韓國瑜喊：熱鬧但不會,時間: Sat Jan  6 21:12:13 2024,0,2024-01-06 21:12:13
推: 6,噓: 0,分數: 6,作者: tsengcc (),標題: [新聞] 關山國有地出租開發光電惹議 國產署:需,時間: Sat Jan  6 21:12:13 2024,6,2024-01-06 21:12:13
推: 1,噓: 0,分數: 1,作者: terry21111 (pi),標題: Re: [問卦] 愛在西元前這首歌不能再唱了？,時間: Sat Jan  6 21:12:24 2024,1,2024-01-06 21:12:24
推: 7,噓: 1,分數: 6,作者: tzujan (無),標題: Re: [問卦] 中視是不是造反了阿?,時間: Sat Jan  6 21:12:31 2024,7,2024-01-06 21:12:31
